"course_id","hp","descr"
"722G32",3.0,"Tillämpat ledarskap"
"722G35",7.5,"Organisationsteori 2"
"754G57",15.0,"Entreprenörskap. marknadsförings- och utställningsarbete"
"754G54",15.0,"Uttryck - form och färg"
"722G36",15.0,"Ekonomi och miljö. grundkurs"
"TMMI50",9.0,"Tillämpad energiteknik"
"LSAA10",15.0,"Kunskap och vision i trä- och metallslöjd"
"LSAA11",15.0,"Examensarbete i slöjdlärarprogrammet"
"77GU20",7.5,"Avancerad projektstyrning - för hållbart programgenomförande"
"TMMI55",10.5,"Tillämpad energiteknik"
"HHSC01",30.0,"Hälso- och sjukvårdsadministration 3"
"HHSC02",30.0,"Hälso- och sjukvårdsadministration 3"
"719A17",15.0,"Religonshistoria uppsats"
"TEIO61",6.0,"Industriell organisation. grundkurs"
"719A11",15.0,"Religionshistoria"
"NKEC11",7.5,"Komplexkemi"
"NFYD10",7.5,"Kaos och icke-linjära fenomen"
"NFYD11",7.5,"Kaos och icke-linjära fenomen"
"HMÄÅX8",7.5,"Äldre och teknik"
"HMÄÅX9",15.0,"Magisteruppsats"
"972G18",1.5,"Utbildningsvetenskaplig kärna 2. Utveckling och lärande. Verksamhetsförlagd utbildning"
"HMÄÅX2",7.5,"Samhällets åldersordning och medborgarskap"
"HMÄÅX3",7.5,"Välfärd. etnicitet och handlingsmönster"
"972G17",8.5,"Utbildningsvetenskaplig kärna 2. Utveckling och lärande"
"HMÄÅX7",7.5,"Ledarskap och mångfald"
"HMÄÅX4",7.5,"Den äldre medborgaren i olika kommunikationssituationer"
"HMÄÅX5",7.5,"Metod"
"8UG006",7.5,"Att möta äldre med psykisk ohälsa"
"8UG007",7.5,"Grundläggande forskningsmetodik"
"8UG005",7.5,"Forsknings- och utvecklingsmetodik I"
"8UG002",15.0,"Telefonrådgivning i hälso- och sjukvård I"
"8UG003",7.5,"Sår och sårbehandling Steg 1"
"8UG001",7.5,"Nutrition"
"915G02",3.0,"Studentmentorskap i lärarutbildningen"
"8UG008",7.5,"Mötet med personer med demenssjukdomar"
"8UG009",7.5,"Handledning i interprofessionell. klinisk utbildning. grundnivå"
"NKEC18",6.0,"Nanokemi syntes och egenskaper"
"HPSC43",7.5,"Uppsatsförberedande kurs i psykologi"
"LIMAB3",15.0,"Linjär algebra och statistik (31-40)"
"LIMAB2",15.0,"Linjär algebra och flervariabelanalys  (31-40)"
"LIMAB1",15.0,"Matematikens didaktik och historia  (21-30)"
"LIMAB6",15.0,"Analys och statistik (31-40p)"
"LIMAB5",15.0,"Linjär algebra och statistik (31-40)"
"LIMAB4",15.0,"Matematikdidaktik (21-30)"
"HASOA1",7.5,"Kommunikation och grupputveckling"
"949A02",7.5,"Utbildningsvetenskap som kunskapsområde och forskningsfält"
"790G76",15.0,"Religionsvetenskap - Etik uppsats. fördjupningskurs"
"790G70",15.0,"Religionsvetenskap - Tros- och livsåskådningsvetenskap. fortsättningskurs"
"790G72",15.0,"Religionsvetenskap - Etik. fördjupningskurs"
"LPNNG2",15.0,"Människan - kroppsfunktioner och hälsa"
"LPNNG1",15.0,"Utveckling och drivkrafter - universum. materien och naturvetenskapen"
"MENTOR",0.0,"Industrimentorsprogram"
"TFFY81",4.5,"Projektlaborationer i fysik"
"9MG341",15.0,"Analys och vektoralgebra (46-60 hp)"
"HENAA1",7.5,"English for Law Students"
"LSV030",30.0,"Nusvenska 2Ä"
"NKEA27",7.5,"Organisk kemi 1"
"NKEA26",15.0,"Allmän kemi"
"NKEA25",6.0,"Allmän kemi 2"
"NKEA24",15.0,"Kemi för fysiker"
"TPPE29",6.0,"Finansiella marknader och instrument"
"TPPE28",4.5,"Ekonomisk analys: besluts- och finansiell metodik"
"NKEA21",1.5,"Trender i kemisk biologi"
"NKEA20",12.0,"Allmän kemi"
"TPPE24",6.0,"Ekonomisk analys besluts- och finansiell metodik"
"TPPE27",6.0,"Ekonomisk analys ekonomisk teori"
"LPNNG4",15.0,"Modern fysik ur ett biologiskt perspektiv"
"TPPE21",6.0,"Produktionslogistik"
"NKEA29",6.0,"Organisk kemi 1"
"NKEA28",7.5,"Biokemi 1"
"LXBA85",15.0,"Kunskapskulturer. identitet och lärande"
"9MU231",15.0,"Inriktning Musiskt lärande. Didaktik och färdighetsträning (31-45hp)"
"TBXD20",30.0,"Examensarbete"
"TXD009",7.5,"Människa-System interaktion. 5p"
"TDDC56",4.5,"Real Time and Embedded Systems"
"TDDC57",6.0,"Funktionell programmering och Lisp"
"HAFAE1",18.0,"Affärsrätt"
"TDDC55",4.5,"Discrete Structures II"
"926G02",15.0,"Lärande för en hållbar utveckling - Vad. Hur och Varför. grundkurs"
"TDDC53",4.5,"Logic II"
"TDDC50",4.5,"Distributed Systems"
"926G01",7.5,"Sex- och samlevnadsundervisning i dagens föränderliga skola"
"756G03",30.0,"Strategiskt personalarbete 3. fortsättningskurs"
"756G02",30.0,"Strategiskt personalarbete 2. fortsättningskurs"
"756G01",30.0,"Strategiskt personalarbete 1. grundkurs"
"TDDC58",4.5,"Datorsystem och programmering"
"TDDC59",4.0,"Programmering med tekniska tillämpningar"
"743A11",15.0,"Reading Course"
"743A12",7.5,"Research Ethics"
"743A13",7.5,"Theories of Science"
"743A15",7.5,"Thesis Design"
"743A16",30.0,"Thesis"
"799G42",7.5,"Utställningsgestaltning i historisk miljö"
